Band Name,Genre,Country,Band Website,BA URL,Description,Video URL,Image
ABORTED,DEATH METAL,Belgium,https://www.facebook.com/Abortedofficial/,https://www.brutalassault.cz/en/band/aborted,"						Over the course of the group’s 20-plus career, they’ve transformed—via tongue-through-cheek and gross-out histrionics—from minor curio to the powerhouse from Flanders. The ascent through death metal’s maggot-infested, disease-ridden ranks didn’t co",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-174-1543236801_thumb.jpeg
AFTER THE BURIAL,METAL HARDCORE PROGRESSIVE,United States,https://www.facebook.com/aftertheburial/,https://www.brutalassault.cz/en/band/after-the-burial,"						An uninhibited eight-stringed dual barrage of frenetic riffs and dynamic chord
progression is exactly what the crushing new AFTER THE BURIAL delivers with
pinpoint precision. This highly anticipated new offering is quickly going to raise the
bar",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-192-1544307876_thumb.jpeg
AGNOSTIC FRONT,NY HC,United States,https://www.facebook.com/agnosticfront/,https://www.brutalassault.cz/en/band/agnostic-front,"						These rarely confronted and always respected leaders of hardcore were established as one of the meanest-sounding bands in the emerging punk genre, helping to initiate the term ""hardcore,"" and placing an entire uproar on the New York map by associat",www.youtube.com/embed/ebBjGp7QOGc,https://charon.brutalassault.cz/content//images/artist-image/artist-134-1540989528_thumb.jpeg
ALIEN WEAPONRY,MAORI THRASH,New Zealand,http://alienweaponry.com,https://www.brutalassault.cz/en/band/alien-weaponry,"ALIEN WEAPONRY is a three-piece thrash metal band from Waipu, New Zealand, formed in 2010 by brothers Lewis and Henry de Jong, who were 8 and 10 years old at the time.The band is most noted for its fusion of Te Reo Māori (the native language of New Zeala",www.youtube.com/embed/Ok0QaLIW4ps,https://charon.brutalassault.cz/content//images/artist-image/artist-169-1543225828_thumb.jpeg
ANAAL NATHRAKH,INDUSTRIAL BLACK GRIND,United Kingdom,https://www.facebook.com/Anaalnathrakhofficial/,https://www.brutalassault.cz/en/band/anaal-nathrakh,"						When writing about A New Kind Of Horror in the record's liner notes, ANAAL NATHRAKH vocalist Dave Hunt is succinct in his description: ""This is not a happy album, it is bitter, vengeful, sarcastic, sardonic, violent, terrified and horrified, terrif",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-135-1540989578_thumb.jpeg
ANATHEMA,ALTERNATIVE ROCK,United Kingdom,http://www.anathemamusic.com,https://www.brutalassault.cz/en/band/anathema,"						The title for  ANATHEMA'S   eleventh full-length would also serve well in describing the Liverpool sextet’s uncompromising dedication to fearless artistry since forming in 1990. They’ve continually evolved by placing hope in the future – from leavi",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-137-1540988993_thumb.jpeg
ANIMALS AS LEADERS,PROGRESSIVE METAL,United States,https://www.animalsasleaders.org,https://www.brutalassault.cz/en/band/animals-as-leaders,"						Sometimes, a band’s music registers just as seismically on an emotional wavelength as it does on a sonic spectrum. And one of those unique bands are ANIMALS AS LEADERS, who reimagine, reinterpret, and refresh instrumental prog, experimental metal, ",www.youtube.com/embed/NmfzWpp0hMc,https://charon.brutalassault.cz/content//images/artist-image/artist-200-1547042945_thumb.jpeg
ANTAEUS,BLACK METAL,France,https://www.facebook.com/Antaeus-142351639134528/,https://www.brutalassault.cz/en/band/antaeus,"We hope you die! Come to your condemnation and witness Satanik Audio Violence!Truly understanding the French black metal fury that is ANTAEUS means learning what’s fuelled it. Through parted flesh, mental scars and waning health – from misfortune and adv",www.youtube.com/embed/R_N91vrjJtM,https://charon.brutalassault.cz/content//images/artist-image/artist-177-1544298333_thumb.jpeg
ANTHRAX,THRASH METAL,United States,https://anthrax.com,https://www.brutalassault.cz/en/band/anthrax,"TV has soap operas, literature has Shakespeare, and metal – well, metal has ANTHRAX, that fire-breathing, thrash-spitting, multi-headed beast of a band that – 30 years since the day Scott Ian and then-bassist Danny Lilker searched a biology textbook for ",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-180-1544300711_thumb.jpeg
THE ARSON PROJECT,POWERVIOLENCE GRIND SLUDGE,Sweden,https://www.facebook.com/thearsonproject/,https://www.brutalassault.cz/en/band/the-arson-project,"In late 2016 after years of silence, a statement was made about new album of Swedish sludge/grindcorers THE ARSON PROJECT, saying, that we will witness 23 minutes of straight harsh audio violence. And we got it! Now this Malmö based quartet will spread f",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-221-1549288808_thumb.jpeg
AU-DESSUS,POST BLACK METAL,Lithuania,https://www.facebook.com/audessusabove/,https://www.brutalassault.cz/en/band/au-dessus,"						Outstanding, dark, heavy hitting and atmospheric post-black metal. The mood and riffs fit very well with the lyrical themes. Also a stunning live band.
",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-246-1556784057_thumb.jpeg
AZUSA,PROGRESSIVE METAL,United States,https://www.facebook.com/AzusaBand/,https://www.brutalassault.cz/en/band/azusa,"						How do you move from a band as pivotal as The Dillinger Escape Plan? For Liam Wilson, it meant ripping up the rulebook all over again. AZUSA make captivating music with unconventional nerve. Uniting the complementary skills of its members, their so",www.youtube.com/embed/7Hu8smmX_BU,https://charon.brutalassault.cz/content//images/artist-image/artist-230-1550574284_thumb.jpeg
BATUSHKA,BLACK METAL,Poland,https://www.facebook.com/Batushkaband/,https://www.brutalassault.cz/en/band/batushka,"						Embrace the essence of musical ecstasy, fascination and passion... Distinct world of sounds lavishing us with the divine glory of spiritual spheres, sounds of harmony…

The identities of the members are unknown, but they are involved with other b",www.youtube.com/embed/B7av_o99Pwg,https://charon.brutalassault.cz/content//images/artist-image/artist-199-1545396497_thumb.jpeg
ČAD,RIP CORE,Slovakia,https://www.facebook.com/cadripcore/,https://www.brutalassault.cz/en/band/cad,"						This long-standing Slovakian squad is very active since it's original conception as early as in 1994 and we are pleased to welcome them to BA again! The band has won a prestigious Slovak Radiohead award for the best record in Hard and Heavy categor",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-241-1556781434_thumb.jpeg
CAR BOMB,MATHCORE,United States,http://www.carbombcult.com,https://www.brutalassault.cz/en/band/car-bomb,"						New York’s CAR BOMB detonate a vicious blast of wildly technical and progressive modern metal. The Long Island quartet's attack is relentless and suffocating: vicious jazz-inspired blasts shift into mechanistic, canyon-wide grooves. Schizophrenic, ",www.youtube.com/embed/z2cZv92KkXs,https://charon.brutalassault.cz/content//images/artist-image/artist-201-1547044001_thumb.jpeg
CARCASS,DEATH METAL,United Kingdom,https://www.facebook.com/OfficialCarcass/,https://www.brutalassault.cz/en/band/carcass,"CARCASS has released several classic albums over the years, including Decibel Magazine “Hall of Fame” inductees Heartwork and Necroticism, and their influence has changed the face of extreme metal with every consecutive release. Whether it was inventing ",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-175-1543238300_thumb.jpeg
CARPENTER BRUT,SYNTHWAVE,France,https://carpenterbrut.com/,https://www.brutalassault.cz/en/band/carpenter-brut,"CARPENTER BRUT draws its influences from 80s TV shows and B-movies loaded with synthesizers. The mysterious and discreet man behind the pentagon – or the Brutagram as his fans would call it – evokes an encounter between Justice beats and the universe of ",www.youtube.com/embed/er416Ad3R1g,https://charon.brutalassault.cz/content//images/artist-image/artist-194-1544308681_thumb.jpeg
CASPIAN,POST ROCK,United States,http://caspianmusic.net/,https://www.brutalassault.cz/en/band/caspian,"Resonating with all the senses, CASPIAN are for fifteen years a solid and unshakable name in the post-rock scene and one of the best live acts from the genre. You can look forward for a show, which will bring welcomed relax during restless times on Bruta",www.youtube.com/embed/AdPJACONTn4,https://charon.brutalassault.cz/content//images/artist-image/artist-234-1550575249_thumb.jpeg
COMBICHRIST,AGGROTECH METAL INDUSTRIAL,Norway,https://www.facebook.com/combichrist/,https://www.brutalassault.cz/en/band/combichrist,"Norwegian-American electro metal project COMBICHRIST mark the return of ultimate genre merger with their infernal, yet extremely addictive sonic lunacy. Known by many as the Rammstein support that overshadowed Rammstein, COMBICHRIST led by Andy LaPlegua ",www.youtube.com/embed/kRa3BU5bl-s,https://charon.brutalassault.cz/content//images/artist-image/artist-232-1550574794_thumb.jpeg
