<<<<<<< HEAD
Band Name,Genre,Country,Band Website,BA URL,Description,Video URL
ABORTED,DEATH METAL,Belgium,https://www.facebook.com/Abortedofficial/,https://www.brutalassault.cz/cs/band/aborted,"tyl:  DEATH METAL
 oficiální stránky
						Z Vlámska se na vás hrne death metalová brutalita a agresivita s energií malé elektrárny. Dvacet let historie téhle kapely zatím vyvrcholilo součansou deskou TerrorVision (2018), která rozdrtí lebku nejednoho návštěvníka. Těšit se můžete na barvitou, červi a nemocemi prolezlou směs death metalu a divošské vitality, která se nezastaví před žádným kanálem nebo místem činu, ze kterých by šlo čerpat inspiraci.
",No Video
AFTER THE BURIAL,METAL HARDCORE PROGRESSIVE,United States,https://www.facebook.com/aftertheburial/,https://www.brutalassault.cz/cs/band/after-the-burial,"ates
Styl: METAL/HARDCORE/PROGRESSIVE
 oficiální stránky
AFTER THE BURIAL platí od roku 2008 a jejich alba Rareform mezi nejinvenčnější kapely oboru technického (progresivního) metalcore a tento status si víceméně udržují dodnes. Kapela se zuby nechty drží osobitého přístupu, čili technicky impozantního a chytře strukturovaného songwritingu, který nehraje na podbízivou vlnu. AFTER THE BURIAL pracují s dynamikou dvou proplétajících se kytar podpořenou energickým groovem, mísícím se v neutuchající masáž sluchového smyslu.
",//www.youtube.com/embed/c64J3kadYrE
AGNOSTIC FRONT,NY HC,United States, https://www.facebook.com/agnosticfront/,https://www.brutalassault.cz/cs/band/agnostic-front,"ates
Styl: NY/HC
 oficiální stránky
						Hudební styl, který vyrostl v osmdesátých letech na ulicích chudých dělnických čtvrtí v New Yorku. Bezprizorní mládež, která se snažila pomocí hudby vyjádřit svou naštvanost a frustraci. To vše je obsahem stylu a hnutí, který se skrývá pod označením New York Hard Core. Pokud budeme pátrat po nejvýznamnějších hudebních představitelích tohoto stylu, automaticky nám vytanou tři velká jména světové HC scény – SICK OF IT ALL, MADBALL a AGNOSTIC FRONT. Je téměř k nevíře, že respektované stálice ostrého amerického punku a old school hard core/metalu AGNOSTIC FRONT se pohybují na scéně již 35 let. AGNOSTIC FRONT to je garance drsné, explozivní a úchvatné show, během níž v smrtícím tempu rychlých bicích, extrémně tvrdých kytar a naštvaného vokálu létají vzduchem těla, přičemž vše je vedeno v duchu vzájemného respektu všech zúčastněných. Ne nadarmo jsou právě AF nazývání „kmotry“ tohoto stylu, takže neváhejte a přijďte se osobně poklonit králům NY HC.
",//www.youtube.com/embed/ebBjGp7QOGc
ALIEN WEAPONRY,MAORI THRASH,New Zealand,http://alienweaponry.com,https://www.brutalassault.cz/cs/band/alien-weaponry,"nd
Styl: MAORI THRASH
 oficiální stránky
						Tři mladíci z Waipu na Novém Zélandu. Kapelu založili v roce bratři Lewis a Henry de Jongové, ještě ve věku 8 a 10 let. A podařilo se jim téměř nemožné, obohatit thrash metal o nový a osobitý element.Kapela se proslavila díky užívaní maorského jazyka a jeho kombinaci s energickým a emočně nabitým thrash metalem v duchu maorských válečníků. I přesto že jsou chlapci ještě žáky střední školy, už jezdí po světě a strhávají davy metalistů svou vyspělou a našlapanou muzikou. Thrash ka mate, ka mate! ka ora! ka ora!  
",//www.youtube.com/embed/5kwIkF6LFDc
ANAAL NATHRAKH,INDUSTRIAL BLACK GRIND,United Kingdom,https://www.facebook.com/Anaalnathrakhofficial/,https://www.brutalassault.cz/cs/band/anaal-nathrakh,"ngdom
Styl: INDUSTRIAL BLACK GRIND
 oficiální stránky
						Již deset alb má na kontě tahle sebranka sonických maniaků z Birminghamu a to zatím poslendí A New Kind Of Horror se opět nese v duchu šíleného hybridu symfonického black metalu, death metalu, industrialu a grindcoru, který rozeznáte na první poslech. Opět se jedná o trestající karabáč plný nefiltrovaných emocí a zhuštěné temnoty. Multi-instrumentalista Mick Kenney a vokalista Dave Hunt stvořili jedno z nejoriginálnějších alb roku 2018 a Brutal Assault smetou naprostou živelnou smrští, jak je jejich dobrým zvykem.
",//www.youtube.com/embed/Lmloi1rcres
ANATHEMA,ALTERNATIVE ROCK,United Kingdom,http://www.anathemamusic.com,https://www.brutalassault.cz/cs/band/anathema,"ngdom
Styl: ALTERNATIVE ROCK
 oficiální stránky
ANATHEMA má od roku 1990 na kontě už 11 alb, která mají přes svoje odlišná stylová zaměření jedno společné - nekompromisní oddanost umělecké myšlence beze strachu z negativních ohlasů na žánrové mutace. Kapela pod vedením bratrů Daniel a Vincenta Cavanaghových kontinálně opouští všechna očekávání fanoušků a kritiky a věnuje se pokaždé osobité tvorbě vyvolávající emoce na základě vlastního uměleckého rozpoložení, což z kapely činí čestnou vyjímku ve světě plném konformistů honících se za uznáním. Jejich poslední počin The Optimist patřil k nejlepším albům roku 2017 a opět pozvedl jméno kapely, která založila své renomé na odhalování duší muzikantů a introspektivních formách uměleckého vyjádření pomocí post-progressivního a alternativního rocku bez hranic.
						
					",No Video
ANIMALS AS LEADERS,PROGRESSIVE METAL,United States,https://www.animalsasleaders.org,https://www.brutalassault.cz/cs/band/animals-as-leaders,"ates
Styl: PROGRESSIVE METAL 
 oficiální stránky
						Je neuvěřitelné, za jak krátkou dobu si Tosin Abasi s ANIMALS AS LEADERS vydobil v celé prog metalové obci vrcholovou pozici. Hudba AAL je totální fusion nádherou, která představuje hudební osvobození a kreativitu, a které daleko překračuje hranice djentu jako domovského žánru kapely. ANIMALS AS LEADERS nikdy nestáli jako další v řadě a navíc byli i při zrodu žánru a výsledkem je neuvěřitelně pestrá a svěží koláž nejen všech možných technik hraní na kytaru, ale také nejrozličnějších živých i elektronických zvuků, atmosfér a žánrů, kde nepřevládá žádný z nich.  

",//www.youtube.com/embed/NmfzWpp0hMc
ANNOTATIONS OF AN AUTOPSY,DEATHCORE,United Kingdom,https://www.facebook.com/AOAAOFFICIAL,https://www.brutalassault.cz/cs/band/annotations-of-an-autopsy,"ngdom
Styl: DEATHCORE
 oficiální stránky
ANNOTATIONS OF AN AUTOPSY u nás už patří k poměrně zavedeným partám, které se n BA již vyskytovaly. Jejich hudba je jako masivní valivý death metalový britský buldozer řítící se omšelými ulicemi Josefova a kropící davy deathcorovou kyselinou a breakdowny, sekačkami a ráfkovkami, to vše podpořeno výborným hutným vokálem.
",//www.youtube.com/embed/AcFW6u-2U4Y
ANTAEUS,BLACK METAL,France,https://www.facebook.com/Antaeus-142351639134528/,https://www.brutalassault.cz/cs/band/antaeus,"yl: BLACK METAL
 oficiální stránky
We hope you die! ANTAEUS jsou nezaměnitelná kapela francouzské scény a rozbor jejich dřívějších děl s nahlédnutím do bouřlivé historie kapely by vydal za malý krvavý román... ANTAEUS mají vazby na mnohé „ortodoxní“ kapely z přelomu milénia vycházející u End All Life Prod. a Norma Evangelium Diaboli, které výrazně přispěly k oživení tehdy stagnujícího blackmetalového žánru. Hudebně měli ANTAEUS ale vždy blíže k takovým Sadistik Exekution nebo Conqueror než třeba k Mayhem nebo Darkthrone, na které EAL/NED kapely navázaly. Přímočaré akt satanistického násilí prostoupené hutnou a zvláštní nihilistickou atmosférou kulminovaly se současným albem Condemnation a koncert na Brutal Assaultu bude jednou z extrémně vzácných příležitostí vidět kapelu živě.
",//www.youtube.com/embed/R_N91vrjJtM
ANTHRAX,THRASH METAL,United States,https://anthrax.com,https://www.brutalassault.cz/cs/band/anthrax,"ates
Styl: THRASH METAL
 oficiální stránky
Televize má seriály, literatura má Shakespeara a metal – no, metal má ANTHRAX, tuhle mnohohlavou příšeru, která plive oheň a thrash a která je tu už třicet let, od chvíle, kdy Scott Ian a pozdější basák Danny Lilker listovali učebnicí biologie, aby našli to podivné slovo, které jim dalo jméno. Pokud vám něco říká heavy metal, tak jste asi slyšeli o jejich závratném úspěchu v osmdesátých letech po boku Slayer, Megadeth a Metallicy. Asi jste slyšeli jejich milník – crossoverový hit s Public Enemy Bring The Noise v roce 1991. Slyšeli jste mraky kapel, které chtěly hrát jako oni. A taky jste zaslechli něco o jejich nezlomné vůli přežít v dnešním hudebním světě – jako hrdinové metalu se svou nejlepší nahrávkou v ruce. A teď si vůbec poprvé budete moci vychutnat ANTHRAX na BA!
",No Video
